,O3 (ppb),CO (ppm),SO2 (μg/m³),NO2 (μg/m³),PM2.5 (μg/m³),PM10 (μg/m³),Polluted
1516,59,0.3,22,96,90,5,0
1517,11,0.7,22,40,24,20,0
1518,69,0.4,6,53,55,33,0
1519,30,0.6,88,42,11,63,0
1520,107,0.9,56,118,36,45,1
1521,88,0.0,138,20,63,40,0
1522,109,0.7,68,36,88,13,1
1523,71,0.6,58,106,21,81,1
1524,42,0.2,52,11,22,86,0
1525,70,0.2,31,107,58,81,1
1526,109,0.6,148,79,74,57,1
1527,15,0.1,149,85,69,36,0
1528,69,0.0,135,95,56,23,1
1529,6,0.7,99,115,54,92,1
1530,87,0.2,112,100,32,22,1
1531,54,0.7,68,47,73,26,1
1532,83,0.1,131,12,79,42,0
1533,98,0.7,68,50,49,5,1
1534,57,0.7,29,67,98,67,1
1535,100,0.3,70,41,19,57,0
1536,20,0.6,64,32,60,94,1
1537,49,0.9,9,129,26,100,1
1538,5,0.5,149,89,35,86,1
1539,38,0.1,128,62,29,53,1
1540,15,0.4,60,52,31,66,1
1541,61,0.8,115,80,62,38,1
1542,122,0.1,70,73,62,9,1
1543,111,0.5,36,129,62,69,1
1544,53,0.7,109,29,55,27,1
1545,105,0.7,31,108,52,18,1
1546,29,0.2,150,57,3,30,0
1547,80,0.3,89,70,41,27,1
1548,53,0.4,106,84,16,89,1
1549,56,0.2,150,96,32,72,1
1550,30,0.2,73,13,19,80,0
1551,69,0.3,61,121,97,67,1
1552,95,0.0,111,30,93,56,1
1553,34,0.5,85,117,62,61,1
1554,119,0.5,27,115,52,60,1
1555,10,1.0,45,61,66,47,1
1556,95,0.7,53,117,39,88,1
1557,87,0.5,19,33,41,55,0
1558,36,0.8,42,17,73,47,1
1559,9,0.6,70,67,81,92,1
1560,18,0.2,66,126,56,15,0
1561,100,0.5,149,15,99,13,0
1562,5,1.0,102,103,74,23,1
1563,121,0.4,36,117,31,52,1
1564,5,0.1,72,85,47,37,0
1565,59,0.3,72,16,77,38,0
1566,33,0.9,14,117,27,20,0
1567,73,0.8,32,81,30,91,1
1568,116,0.5,80,63,39,29,1
1569,104,0.6,67,15,32,9,1
1570,116,0.5,127,103,4,70,1
1571,76,0.8,123,77,89,94,1
1572,109,0.4,62,56,20,57,1
1573,76,0.1,88,84,95,25,1
1574,119,0.1,97,63,90,54,1
1575,63,0.0,81,130,65,75,1
1576,12,0.8,22,48,64,98,0
1577,42,0.9,78,117,24,16,1
1578,52,0.9,97,52,86,44,1
1579,71,0.5,75,52,90,54,1
1580,68,0.1,134,122,89,7,1
1581,15,0.4,21,52,60,91,0
1582,56,0.9,40,57,94,46,1
1583,38,0.6,14,69,24,34,0
1584,66,0.7,100,53,57,19,1
1585,114,0.0,45,66,28,27,1
1586,37,0.4,21,115,61,12,0
1587,46,0.1,89,114,63,12,0
1588,120,1.0,138,71,78,76,1
1589,87,0.7,149,51,59,31,1
1590,59,0.0,26,92,52,52,1
1591,103,0.8,46,81,80,70,1
1592,14,0.5,128,126,37,64,1
1593,82,0.1,109,68,25,42,1
1594,53,0.1,57,116,40,75,1
1595,63,0.4,114,53,28,33,1
1596,20,0.8,100,59,78,45,1
1597,102,0.7,6,81,43,26,1
1598,56,0.1,48,96,55,33,1
1599,71,0.2,126,12,80,96,1
1600,71,1.0,110,68,70,9,1
1601,94,0.9,134,86,11,88,1
1602,125,0.8,9,128,76,90,1
1603,20,0.7,146,124,94,36,1
1604,96,0.7,112,10,52,59,1
1605,38,0.4,43,28,83,89,0
1606,41,0.7,80,73,65,69,1
1607,107,0.7,46,119,65,59,1
1608,119,0.8,117,69,30,30,1
1609,112,0.9,111,52,49,70,1
1610,9,0.8,108,96,85,98,1
1611,53,0.8,8,11,79,88,1
1612,49,0.0,28,15,19,54,0
1613,66,0.2,42,105,77,11,1
1614,45,0.2,65,78,52,10,0
1615,84,0.2,45,79,31,99,1
1616,115,0.7,103,120,77,59,1
1617,20,1.0,8,125,10,39,0
1618,120,0.6,94,41,4,12,0
1619,97,0.1,47,109,68,24,1
1620,95,0.1,57,107,32,70,1
1621,32,0.7,77,84,51,27,1
1622,111,0.2,118,11,31,17,0
1623,13,0.4,150,65,69,22,0
1624,45,0.9,68,108,88,11,1
1625,26,0.4,140,95,53,50,1
1626,79,0.9,52,115,22,81,1
1627,29,0.6,150,122,8,30,0
1628,17,0.9,42,45,97,68,1
1629,108,0.5,7,11,18,45,0
1630,74,0.8,38,97,20,67,1
1631,66,0.5,48,54,84,21,1
1632,85,0.9,99,16,37,19,1
1633,94,0.4,13,33,64,35,0
1634,45,0.2,102,56,58,66,1
1635,5,0.1,53,125,98,70,1
1636,65,0.9,63,102,70,87,1
1637,13,0.7,8,97,14,80,0
1638,66,0.4,50,28,73,15,0
1639,88,0.8,11,30,50,83,1
1640,87,0.6,49,52,42,72,1
1641,43,0.4,34,28,24,92,0
1642,63,0.2,134,43,18,31,0
1643,52,0.7,31,75,36,46,1
1644,51,1.0,75,30,11,92,1
1645,42,0.2,109,110,98,91,1
1646,45,0.4,68,128,8,50,0
1647,70,0.2,55,100,81,44,1
1648,70,0.4,67,43,55,48,1
1649,42,1.0,137,66,50,10,1
1650,104,0.4,108,14,51,69,1
1651,51,0.9,41,120,85,66,1
1652,37,0.2,119,47,22,10,0
1653,14,0.2,132,40,24,83,0
1654,50,0.4,30,31,78,45,0
1655,82,0.9,137,80,57,92,1
1656,56,0.8,48,47,11,77,1
1657,80,0.8,110,26,12,13,0
1658,96,1.0,140,104,54,71,1
1659,68,0.7,118,31,29,44,1
1660,114,0.5,64,98,4,9,0
1661,53,0.8,135,93,49,57,1
1662,20,0.5,5,110,25,55,0
1663,123,0.5,85,71,45,76,1
1664,18,0.0,27,129,63,69,0
1665,15,0.6,117,49,23,74,1
1666,5,0.9,105,70,29,99,1
1667,58,0.8,63,30,4,99,1
1668,57,0.5,47,104,42,56,1
1669,101,0.6,32,50,27,60,1
1670,104,0.5,54,117,53,52,1
1671,14,0.2,101,56,85,59,1
1672,32,0.3,104,91,33,12,0
1673,28,0.7,123,106,18,8,0
1674,66,0.4,85,49,4,7,0
1675,43,0.9,83,94,6,49,1
1676,63,0.3,71,42,67,86,1
1677,77,0.0,49,102,51,51,1
1678,113,0.1,82,86,37,46,1
1679,93,0.2,27,101,18,48,0
1680,17,0.8,87,85,83,27,1
1681,26,1.0,37,61,55,46,1
1682,63,0.6,139,87,3,70,1
1683,102,0.8,79,64,67,90,1
1684,19,0.6,127,89,44,56,1
1685,64,0.8,15,94,26,71,1
1686,63,0.6,38,87,71,55,1
1687,116,0.9,30,97,15,32,0
1688,62,0.9,137,46,20,97,1
1689,47,0.7,54,74,87,22,1
1690,120,0.5,101,124,97,74,1
1691,111,0.2,54,107,82,60,1
1692,14,1.0,120,104,51,32,1
1693,67,0.8,102,97,38,19,1
1694,43,1.0,22,68,74,86,1
1695,85,0.9,100,94,26,54,1
1696,47,0.1,74,17,84,50,0
1697,25,0.5,22,36,12,6,0
1698,33,0.9,108,119,88,18,1
1699,89,0.8,111,51,65,72,1
1700,94,0.5,13,59,6,96,0
1701,15,0.6,63,17,6,29,0
1702,95,0.4,23,55,63,19,0
1703,110,0.9,59,89,96,40,1
1704,109,0.6,125,101,95,44,1
1705,75,0.8,37,126,66,56,1
1706,15,0.9,29,114,70,16,0
1707,70,0.3,134,119,78,85,1
1708,104,0.5,113,45,88,86,1
1709,82,0.6,95,123,55,42,1
1710,75,0.0,66,78,9,66,1
1711,64,0.8,42,12,22,25,1
1712,123,0.2,139,117,38,68,1
1713,67,0.0,116,35,80,83,1
1714,84,0.2,35,102,33,13,0
1715,35,0.7,14,58,45,85,1
1716,86,0.4,105,55,24,56,1
1717,120,0.9,11,45,44,8,0
1718,16,0.8,141,42,77,37,0
1719,56,0.3,145,67,62,77,1
1720,35,0.8,126,36,96,11,0
1721,74,0.4,74,89,44,22,1
1722,39,0.2,98,57,60,20,0
1723,109,0.2,7,97,27,19,0
1724,81,0.1,36,60,84,78,1
1725,49,0.7,59,90,34,5,1
1726,49,0.4,37,40,16,49,0
1727,13,0.9,9,32,37,21,0
1728,22,0.9,70,28,43,96,1
1729,46,0.2,145,54,68,11,0
1730,110,0.6,14,28,37,5,0
1731,38,0.8,110,67,57,57,1
1732,112,0.5,32,26,43,26,0
1733,35,1.0,13,96,71,55,1
1734,97,0.9,116,71,86,80,1
1735,58,0.1,27,37,53,47,0
1736,62,0.2,71,25,40,33,0
1737,105,0.1,52,35,80,65,1
1738,54,0.3,145,14,86,78,1
1739,31,0.3,24,57,46,91,0
1740,102,0.2,111,92,93,47,1
1741,89,0.1,83,82,46,26,1
1742,47,0.3,31,82,31,21,0
1743,41,1.0,52,47,33,41,0
1744,9,0.9,6,127,76,77,1
1745,125,0.6,55,127,49,32,1
1746,94,1.0,27,51,82,66,1
1747,106,0.5,115,86,85,55,1
1748,87,0.6,37,125,4,86,1
1749,18,0.9,50,23,22,7,0
1750,40,0.6,134,82,73,48,1
1751,81,1.0,140,130,76,28,1
1752,75,0.7,115,120,46,99,1
1753,44,0.8,137,28,25,51,1
1754,108,0.1,65,49,25,48,1
1755,74,0.1,47,51,44,96,1
1756,30,0.8,59,32,65,77,1
1757,21,0.5,104,64,65,71,1
1758,109,0.7,23,93,89,61,1
1759,55,0.5,149,11,53,80,1
1760,63,0.4,24,80,97,5,0
1761,118,0.3,82,83,64,35,1
1762,15,0.2,32,114,58,92,0
1763,40,0.4,106,32,15,47,0
1764,49,0.0,56,100,80,8,0
1765,43,0.6,10,120,25,53,1
1766,47,0.8,81,114,51,67,1
1767,82,0.2,43,61,95,31,1
1768,123,0.2,42,65,57,46,1
1769,92,0.4,150,21,81,89,1
1770,18,0.3,119,112,99,75,1
1771,103,0.1,61,88,60,55,1
1772,55,0.8,66,13,78,56,1
1773,32,0.5,5,120,10,30,0
1774,17,0.5,71,47,39,12,0
1775,114,1.0,116,98,70,81,1
1776,91,0.6,99,44,77,88,1
1777,56,0.1,91,98,93,39,1
1778,84,0.2,65,108,64,79,1
1779,21,0.4,70,60,74,35,0
1780,18,0.3,85,18,46,56,0
1781,119,0.9,125,24,99,65,1
1782,64,0.6,150,61,72,33,1
1783,11,0.9,137,15,28,75,1
1784,121,0.4,106,91,78,92,1
1785,89,0.6,55,104,12,33,1
1786,33,0.6,139,14,22,67,1
1787,36,0.0,150,28,37,48,0
1788,62,0.6,132,10,43,92,1
1789,47,0.1,120,82,88,44,0
1790,62,0.9,28,66,47,58,1
1791,98,0.3,78,25,50,46,1
1792,103,0.3,95,105,82,35,1
1793,72,0.9,56,41,62,63,1
1794,43,0.4,26,32,46,68,0
1795,34,0.4,30,50,43,79,0
1796,84,0.6,5,94,8,66,1
1797,49,0.7,92,49,92,54,1
1798,26,0.6,109,55,72,74,1
1799,125,0.9,22,105,84,39,1
1800,25,0.4,38,103,32,48,1
1801,100,0.2,12,58,56,17,0
1802,107,0.1,42,26,21,9,0
1803,104,0.4,54,20,45,39,0
1804,87,0.3,92,22,92,94,1
1805,28,0.3,150,53,41,45,0
1806,65,0.4,134,43,92,28,0
1807,72,0.6,94,120,85,32,1
1808,42,0.0,141,69,89,16,0
1809,18,0.5,149,102,27,96,1
1810,117,0.5,69,89,90,76,1
1811,5,0.7,72,30,18,29,0
1812,36,0.5,104,28,76,16,0
1813,37,0.0,148,75,95,61,1
1814,95,0.9,79,75,92,60,1
1815,78,0.9,138,44,30,26,1
1816,58,0.2,84,84,31,24,1
1817,43,0.3,81,101,95,67,1
1818,14,0.4,123,124,19,18,0
1819,28,0.5,127,69,32,20,0
1820,103,1.0,80,43,43,96,1
1821,48,0.5,84,88,66,13,0
1822,108,0.0,103,93,45,84,1
1823,64,0.6,40,98,71,25,1
1824,58,0.9,13,27,60,83,1
1825,82,0.9,69,93,91,30,1
1826,64,0.6,79,54,52,80,1
1827,106,0.8,71,118,33,93,1
1828,58,0.6,36,110,22,20,1
1829,15,0.8,96,28,27,30,0
1830,79,0.5,123,41,41,37,0
1831,26,0.5,58,64,64,27,0
1832,81,0.2,55,115,60,5,1
1833,116,0.6,75,96,49,71,1
1834,6,0.1,30,100,23,73,0
1835,99,0.9,132,11,18,48,1
1836,68,0.8,40,13,43,30,1
1837,96,0.2,124,37,43,45,0
1838,123,0.1,112,77,13,50,1
1839,75,0.2,110,70,39,79,1
1840,72,0.9,66,66,22,99,1
1841,69,0.5,29,33,21,69,0
1842,124,0.8,65,26,41,97,1
1843,77,0.9,45,64,69,71,1
1844,13,0.7,81,29,37,96,1
1845,50,1.0,149,74,87,71,1
1846,55,0.2,34,114,40,94,1
1847,24,0.4,52,101,33,87,1
1848,95,0.7,121,30,94,62,1
1849,14,1.0,86,67,78,73,1
1850,10,0.7,142,123,30,62,1
1851,93,0.8,19,87,20,37,0
1852,26,0.9,130,37,84,67,1
1853,16,0.5,125,115,63,66,1
1854,102,0.7,130,76,99,21,1
1855,101,0.8,123,109,22,48,1
1856,31,0.6,6,24,28,51,0
1857,30,0.6,105,129,55,53,1
1858,60,0.1,62,93,48,10,1
1859,38,0.7,65,17,96,92,1
1860,16,0.5,119,39,5,17,0
1861,79,1.0,10,122,88,29,1
1862,60,0.2,118,31,8,94,0
1863,95,0.1,37,108,65,75,1
1864,13,0.9,59,14,4,7,0
1865,34,0.7,140,33,68,72,1
1866,99,0.5,25,129,71,86,1
1867,67,0.8,142,100,32,8,1
1868,95,0.2,28,104,21,8,0
1869,21,0.9,91,69,29,31,1
1870,14,0.7,133,62,29,90,1
1871,19,0.6,22,110,3,63,0
1872,56,0.9,87,85,35,20,1
1873,39,0.3,71,109,39,26,0
1874,99,1.0,75,50,34,76,1
1875,92,0.2,67,32,98,16,0
1876,95,0.0,19,84,69,93,1
1877,125,1.0,64,130,40,30,1
1878,125,0.0,135,89,18,88,1
1879,55,0.1,53,92,30,36,1
1880,84,0.1,87,122,91,66,1
1881,14,0.0,85,56,86,34,0
1882,112,0.6,23,124,58,20,1
1883,97,0.4,104,20,18,95,0
1884,39,0.2,145,71,23,12,0
1885,16,0.4,33,36,76,61,0
1886,94,0.8,119,29,55,22,1
1887,96,0.6,54,20,72,20,1
1888,66,0.8,150,89,29,34,1
1889,118,0.7,83,125,57,99,1
1890,91,0.5,123,83,32,30,1
1891,77,0.2,86,85,49,53,1
1892,50,0.8,87,63,15,27,0
1893,77,0.0,77,70,5,38,0
1894,116,0.1,109,87,11,16,0
1895,10,0.6,12,62,25,57,1
1896,94,0.5,12,125,56,37,0
1897,27,0.8,66,86,25,87,1
1898,50,0.4,69,52,73,100,1
1899,79,0.3,105,22,63,57,1
1900,46,0.2,139,117,57,98,1
1901,94,0.8,10,115,66,99,1
1902,123,1.0,138,56,66,54,1
1903,26,0.5,105,122,85,16,0
1904,29,0.4,63,50,88,75,0
1905,28,0.7,97,40,67,22,0
1906,78,0.3,29,60,43,16,0
1907,47,0.4,109,33,60,39,0
1908,79,0.9,5,115,34,35,1
1909,69,0.3,149,104,44,97,1
1910,32,0.7,29,26,64,94,0
1911,119,0.4,105,69,83,51,1
1912,78,0.8,120,98,49,42,1
1913,117,0.2,70,31,27,71,1
1914,115,0.7,30,101,60,93,1
1915,38,0.0,49,26,53,76,0
1916,8,0.2,67,12,9,7,0
1917,93,0.2,116,68,87,88,1
1918,41,0.9,108,94,68,8,1
1919,49,0.3,30,122,15,74,0
1920,48,0.2,49,105,99,57,1
1921,57,0.1,135,49,58,70,1
1922,48,0.5,39,25,37,25,0
1923,56,0.6,52,82,85,41,1
1924,53,0.1,16,104,15,43,0
1925,67,0.2,57,46,5,73,0
1926,109,0.4,106,100,30,100,1
1927,62,1.0,38,32,27,97,1
1928,35,0.7,70,121,58,48,1
1929,107,0.2,55,98,86,31,1
1930,73,0.5,38,67,56,72,1
1931,25,0.3,122,15,98,99,0
1932,6,0.0,150,60,99,63,1
1933,72,0.3,69,25,42,46,1
1934,38,0.7,96,51,47,18,1
1935,109,0.2,9,94,94,53,1
1936,103,0.5,77,100,91,54,1
1937,99,0.5,8,39,86,97,0
1938,21,0.6,20,27,30,99,0
1939,61,0.6,93,117,98,87,1
1940,25,0.1,24,92,30,100,0
1941,58,0.1,114,13,93,76,1
1942,60,0.6,59,36,19,19,0
1943,74,0.1,99,22,98,35,0
1944,78,0.6,123,121,18,35,1
1945,21,0.6,23,34,52,67,0
1946,72,0.2,26,25,32,62,0
1947,32,0.1,9,89,82,85,0
1948,18,1.0,108,15,84,78,1
1949,96,0.7,54,107,34,90,1
1950,43,0.8,93,95,31,46,1
1951,125,0.6,147,114,9,92,1
1952,118,0.3,15,70,40,27,0
1953,99,0.6,47,43,54,100,1
1954,35,0.0,70,64,86,5,0
1955,106,0.4,100,17,15,69,0
1956,113,0.9,55,19,16,8,0
1957,36,0.0,131,113,16,93,0
1958,41,0.3,133,12,54,68,0
1959,115,0.0,33,88,82,94,1
1960,70,0.8,89,39,10,66,1
1961,79,0.9,101,87,71,72,1
1962,58,0.0,130,48,64,41,0
1963,101,0.2,25,86,68,45,0
1964,118,0.6,32,33,20,22,0
1965,99,0.5,146,91,43,66,1
1966,14,0.9,99,29,19,48,0
1967,120,0.2,101,57,5,90,1
1968,45,0.4,22,99,80,73,0
1969,113,0.4,113,44,57,7,0
1970,103,0.9,149,86,94,56,1
1971,13,0.5,143,45,89,36,0
1972,58,0.5,100,121,69,81,1
1973,123,0.5,44,109,76,19,1
1974,39,0.9,126,83,92,67,1
1975,118,0.5,30,59,90,7,0
1976,46,0.1,13,128,10,56,0
1977,114,0.9,117,22,67,75,1
1978,43,0.4,135,21,25,56,0
1979,88,0.7,149,31,21,28,1
1980,122,0.4,93,77,5,98,1
1981,10,0.6,120,47,10,89,0
1982,122,0.5,148,103,12,87,1
1983,6,0.3,143,16,87,8,0
1984,31,0.5,88,116,99,94,1
1985,45,0.1,52,21,77,13,0
1986,71,0.5,93,115,60,59,1
1987,78,1.0,116,46,85,69,1
1988,81,0.3,148,76,45,61,1
1989,117,0.5,93,72,63,40,1
1990,17,0.4,136,90,81,8,0
1991,61,0.2,121,99,22,30,1
1992,19,0.3,47,130,23,24,0
1993,5,0.2,64,100,51,89,1
1994,59,0.3,91,84,91,34,1
1995,108,0.6,93,31,86,87,1
1996,105,0.9,41,38,29,68,1
1997,90,0.2,22,51,79,21,0
1998,34,0.5,58,51,11,39,0
1999,81,0.6,59,47,55,69,1
2000,111,0.4,107,34,30,76,1
2001,84,0.3,41,69,43,42,1
2002,53,0.6,116,57,70,87,1
2003,69,0.8,133,47,85,67,1
2004,81,0.2,38,93,51,25,1
2005,20,0.5,48,19,89,82,0
2006,48,0.4,58,19,3,67,0
2007,44,0.2,66,22,6,50,0
2008,72,0.7,15,42,58,26,0
2009,14,0.5,69,105,49,82,1
2010,113,0.3,119,76,85,85,1
2011,28,0.5,59,30,99,93,0
2012,116,0.2,16,110,60,6,0
2013,76,0.4,107,19,94,46,1
2014,30,0.6,139,49,22,11,0
2015,88,0.2,62,34,67,49,1
2016,118,0.8,121,69,11,75,1
2017,95,0.0,44,37,32,52,1
2018,44,0.2,88,120,88,42,0
2019,76,0.2,41,32,74,84,1
2020,23,0.8,85,128,51,33,1
2021,119,0.6,30,72,9,87,1
2022,124,0.5,68,120,46,91,1
2023,53,0.6,138,90,11,29,1
2024,79,0.6,61,116,3,14,1
2025,93,0.6,64,99,87,28,1
2026,80,0.2,67,86,30,11,1
2027,120,1.0,41,96,35,25,1
2028,32,0.3,126,73,47,18,0
2029,108,0.8,80,73,20,88,1
2030,125,0.3,23,15,17,66,0
2031,71,0.1,137,105,93,12,1
2032,78,0.4,78,73,78,46,1
2033,74,0.8,27,91,47,37,1
2034,101,0.1,21,76,18,87,0
2035,21,0.1,6,30,97,94,0
2036,111,0.3,72,75,74,29,1
2037,102,0.9,83,87,92,22,1
2038,70,0.5,149,12,83,60,1
2039,99,0.7,67,90,44,80,1
2040,84,0.1,116,28,14,36,0
2041,49,0.8,145,73,86,87,1
2042,72,0.3,113,18,22,90,1
2043,47,0.9,106,86,73,89,1
2044,75,0.7,39,44,63,40,1
2045,100,0.6,41,55,10,39,1
2046,59,0.8,58,106,10,82,1
2047,48,0.7,72,79,84,31,1
2048,96,0.4,45,130,14,52,1
2049,37,0.7,13,64,38,99,1
2050,74,0.2,76,96,75,59,1
2051,57,0.4,57,100,60,8,1
2052,95,0.1,26,19,21,28,0
2053,42,0.6,28,33,95,54,0
2054,100,0.2,17,101,58,24,0
2055,47,0.4,40,11,5,41,0
2056,60,0.2,6,67,38,75,1
2057,20,0.8,41,112,98,87,1
2058,20,0.9,47,14,45,7,0
2059,88,0.1,100,87,54,72,1
2060,124,0.7,95,125,71,43,1
2061,48,0.7,140,62,44,78,1
2062,83,0.8,95,46,91,77,1
2063,14,0.7,125,57,18,9,0
2064,10,0.9,87,51,93,34,1
2065,7,0.2,37,94,82,40,0
2066,21,0.6,20,62,65,40,0
2067,108,0.4,129,31,10,93,0
2068,57,0.8,100,12,74,68,1
2069,39,0.9,114,96,69,63,1
2070,32,0.3,138,39,68,55,0
2071,55,0.1,15,89,32,34,0
2072,81,0.9,137,42,41,47,1
2073,108,0.4,150,60,67,8,1
2074,101,0.4,82,10,84,8,0
2075,93,0.6,42,113,9,67,1
2076,65,0.7,104,79,26,36,1
2077,115,1.0,53,12,76,73,1
2078,60,0.6,106,126,76,83,1
2079,101,0.1,31,56,64,31,0
2080,94,0.4,21,10,40,40,0
2081,40,0.5,63,54,22,66,1
2082,54,0.2,96,95,44,8,1
2083,61,0.7,84,19,55,10,1
2084,87,0.9,42,32,25,68,1
2085,36,0.2,51,73,50,93,1
2086,112,0.4,76,110,86,61,1
2087,103,0.6,64,32,17,39,0
2088,120,0.1,42,86,38,100,1
2089,88,0.5,81,63,36,55,1
2090,8,0.0,61,33,82,24,0
2091,80,0.0,84,90,75,38,1
2092,16,0.6,112,73,83,80,1
2093,77,0.0,75,96,51,32,1
2094,92,0.7,92,73,93,7,1
2095,103,0.7,106,55,47,34,1
2096,87,0.8,136,75,47,33,1
2097,107,0.9,107,22,61,53,1
2098,19,0.9,36,43,73,61,1
2099,58,1.0,80,99,91,65,1
2100,117,0.7,112,69,79,30,1
2101,116,0.0,11,67,28,53,1
2102,5,0.1,120,12,62,91,0
2103,7,0.8,51,37,93,72,1
2104,21,0.6,134,23,71,13,0
2105,87,0.0,67,13,62,93,1
2106,35,0.8,39,108,92,54,1
2107,122,0.8,139,71,30,94,1
2108,17,0.4,150,123,77,8,0
2109,116,0.9,143,29,41,20,1
2110,71,0.1,77,75,20,10,0
2111,113,0.4,114,53,7,22,0
2112,123,0.1,51,38,6,55,0
2113,19,0.7,33,29,13,27,0
2114,65,0.9,69,62,3,17,1
2115,118,0.5,47,65,39,36,1
2116,83,0.6,125,31,93,44,1
2117,5,0.7,8,112,67,52,1
2118,7,0.3,104,85,55,24,0
2119,104,0.5,50,14,12,46,0
2120,60,0.1,11,33,71,62,0
2121,121,0.7,46,104,95,26,1
2122,39,0.0,134,74,88,42,0
2123,72,0.6,100,129,63,78,1
2124,88,0.3,65,114,75,29,1
2125,15,0.5,37,37,56,72,0
2126,28,0.8,115,35,29,94,1
2127,53,0.5,73,57,43,70,1
2128,95,0.8,140,73,21,61,1
2129,46,0.1,127,123,11,69,0
2130,74,0.7,73,40,4,69,1
2131,93,0.2,95,81,78,19,1
2132,10,0.3,81,22,96,67,0
2133,15,0.5,75,124,17,94,0
2134,61,0.1,33,56,59,39,0
2135,112,1.0,100,119,67,42,1
2136,111,0.8,108,114,60,13,1
2137,11,0.6,139,49,55,11,0
2138,98,0.2,12,83,62,71,1
2139,24,0.3,16,123,85,58,0
2140,104,0.5,82,106,12,66,1
2141,55,0.6,131,30,76,54,1
2142,6,0.4,95,16,94,22,0
2143,70,0.4,8,80,4,13,0
2144,78,0.8,62,118,18,21,1
2145,10,0.9,39,73,70,83,1
2146,100,0.6,138,105,44,36,1
2147,52,0.3,27,92,34,91,1
2148,65,0.4,99,78,16,81,1
2149,108,0.1,145,118,59,17,1
2150,26,0.3,105,113,61,80,1
2151,118,0.3,107,103,30,84,1
2152,120,0.9,45,121,48,66,1
2153,81,0.8,120,17,63,81,1
2154,8,0.8,117,48,68,42,0
2155,6,0.6,129,100,92,33,1
2156,47,0.6,134,118,5,80,1
2157,76,0.3,125,30,38,86,1
2158,12,0.2,140,125,28,76,1
2159,66,0.3,24,68,19,73,0
2160,40,0.3,25,93,39,72,0
2161,46,0.0,106,113,17,51,0
2162,40,0.1,142,103,33,67,1
2163,26,0.5,75,42,30,83,0
2164,41,0.3,29,25,21,16,0
2165,46,0.6,132,27,70,37,0
2166,45,0.1,53,92,76,5,0
2167,112,0.6,119,85,32,21,1
2168,38,0.6,40,59,71,30,1
2169,61,0.0,125,109,90,84,1
2170,114,0.8,48,13,76,53,1
2171,55,0.6,137,96,33,68,1
2172,67,0.2,69,81,42,83,1
2173,117,0.9,69,115,52,60,1
2174,96,0.3,75,128,21,34,1
2175,98,0.5,55,81,81,21,1
2176,117,0.8,18,42,32,79,1
2177,75,0.7,19,120,49,59,1
2178,60,0.9,22,46,69,29,0
2179,53,0.4,16,98,92,76,1
2180,29,0.3,136,10,49,63,0
2181,68,1.0,16,19,6,9,0
2182,114,0.6,65,32,30,88,1
2183,59,0.1,5,23,34,66,0
2184,94,0.1,31,93,18,46,0
2185,108,0.6,75,98,60,86,1
2186,16,0.3,5,78,56,71,0
2187,120,0.4,77,89,51,27,1
2188,79,0.4,86,113,65,91,1
2189,69,0.8,98,51,93,6,1
2190,23,0.1,77,91,65,43,0
2191,23,0.4,92,41,98,49,0
2192,65,0.5,18,32,31,96,0
2193,91,0.8,24,69,88,28,1
2194,20,0.0,68,125,90,59,1
2195,85,0.4,86,116,45,60,1
2196,26,0.9,131,66,65,77,1
2197,118,0.7,128,65,82,55,1
2198,108,0.0,13,53,15,77,0
2199,106,0.2,97,128,72,16,1
2200,39,0.4,111,95,92,42,0
2201,25,0.9,38,11,46,38,0
2202,60,0.5,104,43,72,20,0
2203,103,0.2,130,65,41,15,1
2204,18,0.8,149,116,3,46,1
2205,57,0.9,125,126,99,25,1
2206,38,0.4,94,16,78,97,0
2207,27,0.8,78,93,64,70,1
2208,113,0.6,81,86,18,63,1
2209,14,0.5,47,13,63,92,0
2210,17,0.5,16,116,26,97,0
2211,59,0.5,141,81,23,22,1
2212,14,0.1,11,110,82,39,0
2213,89,0.3,119,123,31,99,1
2214,98,0.9,111,24,84,47,1
2215,106,0.7,68,91,75,76,1
2216,62,0.1,141,119,89,54,1
2217,115,0.0,34,130,41,92,1
2218,96,0.9,137,43,21,26,1
2219,103,0.7,14,128,56,44,1
2220,100,0.5,66,65,8,60,1
2221,79,0.9,142,101,42,24,1
2222,22,0.8,16,20,78,62,0
2223,25,0.0,133,54,6,66,0
2224,33,0.8,83,122,97,6,1
2225,119,0.4,31,15,54,12,0
2226,40,0.9,69,59,17,89,1
2227,75,0.7,20,21,93,60,1
2228,59,0.2,128,61,34,91,1
2229,60,0.0,33,46,94,99,0
2230,45,0.9,21,13,44,11,0
2231,11,1.0,83,103,61,78,1
2232,72,0.5,81,45,76,41,0
2233,114,0.7,55,12,26,90,1
2234,57,0.2,123,68,57,15,1
2235,60,0.8,64,114,41,20,1
2236,68,0.5,11,92,56,59,1
2237,15,0.7,46,96,19,68,1
2238,99,0.8,70,120,73,37,1
2239,73,0.7,15,76,61,14,1
2240,96,0.3,73,51,45,51,1
2241,57,0.7,107,76,3,88,1
2242,28,0.0,123,84,78,49,1
2243,20,1.0,55,58,18,67,1
2244,36,0.6,136,19,98,90,1
2245,107,0.7,62,124,24,55,1
2246,15,0.8,128,34,49,67,1
2247,63,0.1,49,85,98,19,1
2248,52,0.5,88,34,95,5,0
